Step,CPU,TotEng,KinEng,PotEng,E_vdwl,E_coul,E_long,Temp,Press,Volume,Density
0,0,19776.607,18696.466,1080.1407,-2547.6417,55077.289,-71939.078,363,-2096.5414,241512.74,1.2744801
1000,3.6096338,19371.498,18887.792,483.70616,-2649.5711,54759.634,-71922.397,366.71467,232.16609,234861.4,1.3105737
2000,7.1370346,19202.715,18687.106,515.60866,-2711.4687,54830.897,-71902.397,362.81827,7.2025101,234231.04,1.3141007
3000,10.841839,19547.385,18989.833,557.55131,-2610.0284,54806.792,-71930.372,368.69585,371.36321,234026.48,1.3152494
4000,14.76162,19212.222,18712.575,499.64643,-2662.1182,54802.275,-71931.049,363.31276,81.148768,234062.42,1.3150474
5000,18.309569,19276.777,18767.18,509.59723,-2705.1853,54803.737,-71935.999,364.37294,-28.697646,232996.51,1.3210635
6000,21.820124,19222.697,18683.809,538.8872,-2718.3425,54766.9,-71934.219,362.75426,26.910387,232730.02,1.3225762
7000,25.306689,19109.475,18750.489,358.98653,-2748.497,54733.267,-71927.109,364.04887,-43.032871,231654.77,1.328715
8000,28.880069,19122.038,18634.765,487.27351,-2828.2046,54822.666,-71940.754,361.80204,-271.11046,232400.36,1.3244522
9000,32.813266,19016.683,18580.127,436.55531,-2823.5099,54863.173,-71913.907,360.74123,-48.646937,233306.36,1.319309
10000,36.811217,19333.66,18737.096,596.56378,-2772.6747,54804.803,-71933.858,363.78884,-132.61198,232178.1,1.3257201
11000,40.334905,19588.958,18914.443,674.51551,-2644.2571,54773.708,-71938.19,367.23211,-337.70305,233403.87,1.3187578
12000,43.840756,19013.5,18729.155,284.34494,-2782.7575,54820.929,-71917.177,363.63466,-270.338,231892.6,1.3273523
13000,47.410636,19203.805,18695.526,508.27918,-2827.7837,54776.466,-71939.638,362.98175,-47.613731,232175.86,1.3257329
14000,51.126573,19108.352,18855.845,252.50698,-2849.3176,54671.696,-71928.786,366.09441,-103.57604,231602.63,1.3290142
15000,55.064275,19002.779,18750.188,252.59101,-2715.0888,54680.469,-71936.016,364.04303,117.20356,231099.44,1.3319079
16000,58.656635,19340.708,18693.181,647.52627,-2704.8503,54767.595,-71927.658,362.93622,109.16809,233781.8,1.3166259
17000,62.553087,18868.469,18601.336,267.13306,-2739.7548,54790.606,-71928.033,361.15301,-106.52144,232385.71,1.3245357
18000,66.02591,19480.1,18749.955,730.14474,-2681.7943,54940.587,-71924.743,364.03851,83.250163,233280.18,1.319457
19000,69.599598,19178.074,18646.022,532.05174,-2743.6665,54821.446,-71931.88,362.0206,146.56686,232705.35,1.3227164
20000,73.744753,19412.463,18785.661,626.80291,-2814.9783,54914.467,-71905.999,364.73174,-132.63071,232478.31,1.3240081
21000,77.603106,19027.027,18584.229,442.7971,-2824.1483,54791.141,-71930.004,360.82087,48.231026,231930.68,1.3271344
22000,81.10585,19284.011,18610.863,673.14809,-2730.8113,54943.19,-71932.197,361.33798,185.30481,231846.03,1.3276189
23000,84.575685,19485.264,18857.275,627.98908,-2761.7461,54878.795,-71929.875,366.12216,-248.13028,231597.84,1.3290417
24000,88.111874,19158.365,18655.639,502.72597,-2705.7146,54754.816,-71940.975,362.20732,-73.579549,232055.22,1.3264221
25000,91.872221,19410.167,18726.022,684.1451,-2680.1839,54816.549,-71939.237,363.57384,142.81072,233334.47,1.31915
26000,95.751611,19186.332,18784.949,401.38245,-2806.1549,54840.989,-71929.182,364.71793,-40.473514,233085.63,1.3205584
27000,99.283347,18927.05,18536.769,390.28177,-2815.7218,54866.164,-71937.851,359.8994,-66.568508,231540.74,1.3293694
28000,102.84628,19180.6,18615.933,564.66752,-2571.4859,54735.7,-71938.014,361.4364,-38.804984,232191.74,1.3256423
29000,106.38897,19530.058,18767.546,762.51279,-2761.9722,54862.869,-71932.536,364.38003,60.388273,232549.72,1.3236016
30000,109.93299,19369.411,18819.757,549.65422,-2689.8969,54877.037,-71933.962,365.39374,-37.40649,232427.22,1.3242992
31000,114.17966,19045.149,18523.162,521.98676,-2770.0928,54752.179,-71930.25,359.63522,-151.5696,232001.03,1.326732
32000,118.03676,19441.882,18782.196,659.68572,-2741.7976,54746.94,-71938.276,364.66448,306.04786,231803.24,1.327864
33000,121.5195,19231.822,18700.543,531.27839,-2771.6325,54939.039,-71955.081,363.07915,19.832716,231722.97,1.328324
34000,125.08823,19516.865,18781.02,735.84488,-2800.5404,54898.89,-71926.057,364.64165,-13.152677,230954.23,1.3327453
35000,128.63837,19415.067,18752.59,662.47755,-2651.7085,54778.652,-71927.741,364.08966,118.72963,231219.45,1.3312166
36000,132.61176,19211.017,18877.302,333.71442,-2769.6442,54823.641,-71926.74,366.51101,133.51825,232223.67,1.32546
37000,136.44421,19403.628,18838.654,564.97335,-2798.1483,54864.455,-71926.264,365.76064,-11.772347,232189.74,1.3256536
38000,140.03933,19124.915,18562.419,562.49584,-2739.7302,54796.413,-71935.875,360.39741,51.063627,231582.59,1.3291292
39000,143.6099,19119.772,18620.028,499.74379,-2685.0241,54838.281,-71920.651,361.51591,-97.37678,231375.7,1.3303176
40000,147.24423,18924.212,18608.552,315.66001,-2815.9563,54779.055,-71932.749,361.2931,-53.502325,232159.48,1.3258265
41000,150.91249,19150.129,18654.672,495.45726,-2790.8987,54819.476,-71934.81,362.18855,149.3536,231002.3,1.332468
42000,155.16563,19314.722,18685.816,628.90642,-2684.8827,54827.233,-71921.458,362.79321,-71.886272,232186.18,1.325674
